comuna,link,n_habitaciones,n_baños,n_estacionamientos,total_superficie_m2,superficie_construida_m2,valor_uf,direccion,quien_vende,corredor
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/el-valle-rotonda-piedra-rojaguay-guay-copec/2477586,6,4,0,5000.0,355.0,19.216,"Colina, El Valle / Rotonda Piedra Roja/Guay Guay / Copec",Mauricio Pino Propiedades,Mauricio Pino Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/san-josesanta-cecilia/3383953,4,7,0,5400.0,400.0,16.89,"Colina, San José/Santa Cecilia",Mauricio Pino Propiedades,Mauricio Pino Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/chicureo-parcela-de-agrado-en-condominio-san-jose/3416746,3,1,0,5200.0,130.0,5.555,"Colina, Chicureo, Parcela de Agrado en Condominio San José.",Corretajes Prosal Ltda.,Corretajes Prosal
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/santa-elenachicureo-norte/3726063,6,4,0,5100.0,470.0,11.89,"Colina, Santa Elena/Chicureo Norte",Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario),Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario)
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/reina-sur/3532920,5,5,0,5000.0,570.0,12.8,"Colina, Reina sur",Vivaqui Propiedades,Vivaqui Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/domingo-campos-lagos/3488371,2,1,1,130.0,73.0,1.389,"Colina, Domingo Campos Lagos",fernando mora,Vende Dueño/a
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/san-vicente-de-lo-arcayageneral-san-martin-colina/2497732,4,3,0,5498.0,239.0,13.49,"Colina, San Vicente de Lo Arcaya/General San Martín - Colina",Carlos Hurtado Rogers,Hurtado Propiedades S.A.
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/colina/2975092,6,6,0,20000.0,560.0,34.9,"Colina, Colina",Marianella Vergara,Vende Dueño/a
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/camino-san-jose/3185920,4,6,0,5400.0,400.0,17.39,"Colina, Camino san josé",Cata Brochet Propiedades,Cata Brochet Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/colina/2260832,6,5,0,6200.0,450.0,18.054,"Colina, Colina",Vivaqui Propiedades,Vivaqui Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/santa-elenasan-miguel/1157489,4,4,0,5600.0,400.0,12.9,"Colina, Santa Elena/San Miguel",Toro Guzmán Propiedades,Toro Guzmán Propiedades
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/colina/3670069,3,3,0,5000.0,140.0,7.812,"Colina, Colina",Work Inmobiliario,Work Inmobiliario
Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/condominio-polo-mahuida-country-club/3676082,5,4,0,5230.0,530.0,25.0,"Colina, Condominio Polo Mahuida Country Club",Cata Brochet Propiedades,Cata Brochet Propiedades
Conchalí,https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/av-jose-maria-caro-1372/2553777,4,2,3,185.0,120.0,2.5,"Conchalí, Av. Jose Maria Caro 1372",Corredor Pro SpA.,Corredorpro Spa
Conchalí,https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/cardenal-caro-metro-station/3695668,4,2,2,181.0,114.0,3.993,"Conchalí, Cardenal Caro metro station",Macarena Salinas Gormaz,Vende Dueño/a
Conchalí,https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/niteroi/3590496,5,2,3,189.0,171.0,5.729,"Conchalí, Niterói",Jaime Eduardo Castilla,castillapropiedades
Conchalí,https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/porto-alegre-1415/3713357,3,1,2,212.0,76.0,3.403,"Conchalí, Porto Alegre 1415",Isaac Lar Fuentes,Vende Dueño/a
Conchalí,https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/tokio/3311424,3,2,0,160.0,103.0,4.166,"Conchalí, Tokio",María Fernanda,Invierte Propiedades
Conchalí,https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/eibar-1542/3166902,3,3,3,200.0,160.0,7.465,"Conchalí, Eibar 1542",Corredores Asociados,Corredores Asociados
Conchalí,https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/casa-en-carlos-salas-herrera/3734164,3,1,0,340.0,160.0,3.646,"Conchalí, Casa en Carlos Salas Herrera",Armacima LImitada,Armacima Propiedades
Conchalí,https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/calle-gpasaje-iloca/1879499,4,2,0,0.0,123.0,5.034,"Conchalí, Calle g/pasaje iloca",Mauricio Pino Propiedades,Mauricio Pino Propiedades
Conchalí,https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/campanariopucon/3460814,2,1,0,200.0,96.0,2.604,"Conchalí, Campanario/Pucón",Aleida Lama Propiedades,Aleida Lama Propiedades
Conchalí,https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/maipo/3416499,3,1,7,210.0,66.0,5.208,"Conchalí, Maipo",Amparo Canales Bustos,Vende Dueño/a
Conchalí,https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/alemania/3604008,3,1,0,115.0,77.0,2.465,"Conchalí, Alemania",Corredores Asociados,Corredores Asociados
Conchalí,https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/av-independenciaquilicurametro-vivaceta/3446818,3,2,0,175.0,120.0,3.298,"Conchalí, Av. Independencia/quilicura/metro vivaceta",Jaime Moris Propiedades (Providencia),Jaime Moris Propiedades (Providencia)
Conchalí,https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/casa-esquina-en-avenida-180-m2-4-dormitorios-2-banos/2672835,4,2,0,180.0,134.95,4.514,"Conchalí, Casa esquina en Avenida / 180 m2 / 4 dormitorios / 2 baños",Vip Gestión inmobiliaria,Vip Gestion Inmobiliaria
Conchalí,https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/avenida-cardenal-jose-maria-caro/3150444,4,2,4,180.0,135.0,4.514,"Conchalí, Avenida Cardenal José María Caro",Gestión inmobiliaria,Inmobienes.
Conchalí,https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/pasaje-maipo-1484/1977481,3,2,0,266.5,131.6,4.861,"Conchalí, Pasaje Maipo 1484",Paola Sepúlveda,Psp Propiedades
Conchalí,https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/conchali-region-metropolitana/3700342,2,0,0,170.0,60.0,2.326,"Conchalí, Conchalí, Región Metropolitana",Sandra Vargas Céspedes,Alianza Pro Gestión Inmobiliaria
Conchalí,https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/casa-de-2-pisos-en-vivaceta/3734128,2,1,0,250.0,225.0,11.333,"Conchalí, Casa de 2 pisos en Vivaceta",Armacima LImitada,Armacima Propiedades
El Bosque,https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/eleutrio-ramirezalejandro-guzman/2815668,2,1,0,500.0,0.0,6.597,"El Bosque, Eleutrio Ramirez/Alejandro Guzman",Jorge Pablo Caro Propiedades,Jorge Pablo Caro Propiedades
El Bosque,https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/las-casitaslos-patos/2924764,5,3,0,200.0,170.0,8.68,"El Bosque, las casitas/los patos",Jorge Pablo Caro Propiedades,Jorge Pablo Caro Propiedades
El Bosque,https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/gran-avenidaamerica/2526485,6,2,0,300.0,200.0,4.514,"El Bosque, Gran Avenida/America",Jorge Pablo Caro Propiedades,Jorge Pablo Caro Propiedades
El Bosque,https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/casa-de-1-piso-en-conjunto-heroes-del-morro/3383592,3,1,0,113.0,91.0,1.215,"El Bosque, Casa de 1 Piso en Conjunto Héroes del Morro",Corretajes Prosal Ltda.,Corretajes Prosal
El Bosque,https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/eleuterio-ramirez/3390509,3,2,4,410.0,160.0,6.944,"El Bosque, Eleuterio Ramírez",Dubois Propiedades,Dubois Propiedades
El Bosque,https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/casa-en-lo-espejo/3734220,5,2,0,700.0,200.0,12.95,"El Bosque, Casa en Lo Espejo",Armacima LImitada,Armacima Propiedades
El Bosque,https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/casa-de-1-piso-en-villa-santa-maria/3693766,3,2,0,168.0,84.0,2.43,"El Bosque, Casa de 1 Piso en Villa Santa María",Corretajes Prosal Ltda.,Corretajes Prosal
El Bosque,https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/pasaje-los-tilos-11966/3644130,3,0,0,148.0,77.0,2.014,"El Bosque, Pasaje Los Tilos 11966",Francisca Abarca,Francisca Abarca
El Bosque,https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/humberto-allende/3127499,3,1,2,228.0,60.0,4.34,"El Bosque, Humberto Allende",Francisca Abarca,Francisca Abarca
El Bosque,https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/gran-avenida-el-observatorio/2591696,3,1,0,449.0,80.0,5.805,"El Bosque, Gran Avenida, El Observatorio",Schumacher Propiedades,Schumacher Propiedades
El Bosque,https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/gralkornerjmcarreravictor-plaza-mayorga/3598655,3,1,0,400.0,95.0,3.403,"El Bosque, Gral.Korner/j.M.Carrera/victor plaza mayorga",Jaime Moris Propiedades (Providencia),Jaime Moris Propiedades (Providencia)
El Bosque,https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/los-boldos-12360/3589322,4,1,2,220.0,85.0,5.902,"El Bosque, Los Boldos 12360,",Edith Lorena Barra Lazo,Vende Dueño/a
El Bosque,https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/calle-nuevo-horizonte-684/864027,4,2,1,270.0,170.0,2.187,"El Bosque, Calle nuevo Horizonte 684",Erick Marcelo Villanueva Rojas,Vende Dueño/a
El Bosque,https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/mauricio-rugendas-12971/3558587,3,2,4,170.0,100.0,3.45,"El Bosque, Mauricio Rugendas 12971",Rodrigo Cañas de la Cerda,Rodrigo Cañas de la Cerda Propiedades
El Bosque,https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/av-central-87/3579469,3,1,1,220.0,78.0,3.298,"El Bosque, Av. Central 87",María José Jorquera,Vende Dueño/a
El Bosque,https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/lo-moreno/3646486,3,2,4,168.0,108.0,3.993,"El Bosque, Lo moreno",Juan Romero,Vende Dueño/a
El Monte,https://chilepropiedades.cl/ver-publicacion/venta-usada/el-monte/casa/casa-de-1-piso-en-villa-eden-el-monte/3148913,3,1,0,300.0,68.0,1.667,"El Monte, Casa de 1 Piso en Villa Eden. El Monte",Corretajes Prosal Ltda.,Corretajes Prosal
El Monte,https://chilepropiedades.cl/ver-publicacion/venta-usada/el-monte/casa/casa-de-un-piso-en-sector-central-de-el-monte/3311350,5,2,0,670.0,185.0,2.604,"El Monte, Casa de un piso en sector central de El Monte",Corretajes Prosal Ltda.,Corretajes Prosal
Estación Central,https://chilepropiedades.cl/ver-publicacion/venta-usada/estacion-central/casa/av-las-torresav-santa-corina/3351339,4,2,0,120.0,89.0,3.09,"Estación Central, Av las torres/av santa corina",Procasa Adrian Ulloa Propiedades,Procasa Adrián Ulloa Propiedades
Estación Central,https://chilepropiedades.cl/ver-publicacion/venta-usada/estacion-central/casa/paraguayfrancisco-zelada/2355567,3,1,0,304.0,156.0,4.22,"Estación Central, Paraguay/Francisco Zelada",Jorge Pablo Caro Propiedades,Jorge Pablo Caro Propiedades
Estación Central,https://chilepropiedades.cl/ver-publicacion/venta-usada/estacion-central/casa/los-duraznos-256/3712528,5,1,0,114.0,100.0,2.083,"Estación Central, Los Duraznos 256",Bayron Eduardo Cooper Olguín,Vende Dueño/a
Estación Central,https://chilepropiedades.cl/ver-publicacion/venta-usada/estacion-central/casa/el-chucao/3579097,5,3,2,120.0,114.0,5.902,"Estación Central, El chucao",Romina Munoz,Vende Dueño/a
